t_s,muestra,escenario,modo_decision,pose_fuente,mapa_csv,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion
0.064,1,scenario1,kalman,supervisor,,0,0,-1,,,,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.70279,-1.52018,1.57069,66.823,3.0,3.0,AVANZAR
0.128,2,scenario1,kalman,supervisor,,0,0,-1,,,,67.792,67.068,71.729,70.236,67.43,67.127,67.297,0.07563,1.66387,0.1884,0.1884,0.003862,0.06035,0.0,-1.70826,-1.51992,1.54471,67.297,3.0,3.0,AVANZAR
0.192,3,scenario1,kalman,supervisor,,0,0,-1,,,,413.772,65.048,62.721,69.746,239.41,124.554,85.062,0.10071,2.21572,0.38308,0.38308,0.003991,0.06236,0.0,-1.71341,-1.5195,1.49531,85.062,-0.5,-2.0,ESCAPE_DERECHA
0.256,4,scenario1,kalman,supervisor,,0,0,-1,,,,108.06,70.805,64.972,63.387,89.433,115.774,85.419,0.12055,2.65216,0.35168,0.25748,-0.001609,-0.02514,-0.58026,-1.71727,-1.51803,1.45529,85.419,-0.5,-2.0,ESCAPE_DERECHA
0.32,5,scenario1,kalman,supervisor,,0,0,-1,,,,72.76,64.941,63.731,64.206,68.85,106.389,82.998,0.13563,2.98394,0.32028,0.1256,-0.001674,-0.02615,-0.61894,-1.72052,-1.51648,1.42002,82.998,-0.5,-2.0,ESCAPE_DERECHA
0.384,6,scenario1,kalman,supervisor,,0,0,-1,,,,66.838,59.887,57.399,69.27,63.362,105.697,79.952,0.14676,3.22862,0.28888,0.0,-0.001609,-0.02514,-0.58026,-1.72521,-1.5139,1.52383,79.952,-0.5,-2.0,ESCAPE_DERECHA
0.448,7,scenario1,kalman,supervisor,,0,0,-1,,,,67.056,64.992,71.894,67.641,66.024,105.416,77.639,0.15478,3.40509,0.25748,-0.11932,-0.001545,-0.02414,-0.54157,-1.72814,-1.51183,1.61379,77.639,-0.5,-2.0,ESCAPE_DERECHA
0.512,8,scenario1,kalman,supervisor,,0,0,-1,,,,71.162,72.535,67.127,54.668,71.849,71.904,76.535,0.16047,3.5303,0.2198,-0.2512,-0.001738,-0.02716,-0.58026,-1.73016,-1.51017,1.69194,76.535,-0.5,-2.0,ESCAPE_DERECHA
0.576,9,scenario1,kalman,supervisor,,0,0,-1,,,,70.143,68.788,1809.625,64.642,69.465,67.91,75.211,0.16446,3.61814,0.1884,-0.3768,-0.001609,-0.02514,-0.58026,-1.73162,-1.50884,1.74568,75.211,-0.5,-2.0,ESCAPE_DERECHA
0.64,10,scenario1,kalman,supervisor,,0,0,-1,,,,63.284,63.746,813.715,70.782,63.515,66.843,73.094,0.16724,3.67925,0.157,-0.5024,-0.001609,-0.02514,-0.58026,-1.73271,-1.50777,1.78439,73.094,-0.5,-2.0,ESCAPE_DERECHA
0.704,11,scenario1,kalman,supervisor,,0,0,-1,,,,68.098,66.564,410.728,65.622,67.331,67.637,71.953,0.16916,3.72154,0.1256,-0.63428,-0.001674,-0.02615,-0.61894,-1.73354,-1.50691,1.81353,71.953,-0.5,-2.0,ESCAPE_DERECHA
0.768,12,scenario1,kalman,supervisor,,0,0,-1,,,,68.155,73.454,314.097,66.996,70.805,68.593,71.597,0.17049,3.75068,0.0942,-0.75988,-0.001609,-0.02514,-0.58026,-1.7342,-1.50622,1.83594,71.597,-0.5,-2.0,ESCAPE_DERECHA
