t_s,muestra,escenario,modo_decision,pose_fuente,mapa_csv,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion
0.064,1,scenario1,kalman,supervisor,,0,0,-1,,,,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.80168,-1.80131,1.58167,66.823,3.0,3.0,AVANZAR
0.128,2,scenario1,kalman,supervisor,,0,0,-1,,,,67.792,67.068,71.729,70.236,67.43,67.127,67.297,0.07563,1.66387,0.1884,0.1884,0.003862,0.06035,0.0,-1.80172,-1.80133,1.58172,67.297,3.0,3.0,AVANZAR
0.192,3,scenario1,kalman,supervisor,,0,0,-1,,,,69.651,65.048,62.721,69.746,67.349,67.201,67.733,0.10071,2.21572,0.38308,0.38308,0.003991,0.06236,0.0,-1.80176,-1.79749,1.58168,67.733,3.0,3.0,AVANZAR
0.256,4,scenario1,kalman,supervisor,,0,0,-1,,,,62.823,70.805,64.972,63.387,66.814,67.104,68.03,0.12055,2.65216,0.57148,0.57148,0.003862,0.06035,0.0,-1.8018,-1.79365,1.5816,68.03,3.0,3.0,AVANZAR
0.32,5,scenario1,kalman,supervisor,,0,0,-1,,,,72.76,64.941,63.731,64.206,68.85,67.453,68.555,0.13563,2.98394,0.76616,0.76616,0.003991,0.06236,0.0,-1.80184,-1.78981,1.58151,68.555,3.0,3.0,AVANZAR
0.384,6,scenario1,kalman,supervisor,,0,0,-1,,,,66.838,59.887,57.399,69.27,63.362,66.761,68.189,0.14676,3.22862,0.95456,0.95456,0.003862,0.06035,0.0,-1.80188,-1.78597,1.58142,68.189,3.0,3.0,AVANZAR
0.448,7,scenario1,kalman,supervisor,,0,0,-1,,,,67.056,64.992,71.894,67.641,66.024,66.48,68.258,0.15478,3.40509,1.14924,1.14924,0.003991,0.06236,0.0,-1.80192,-1.78213,1.58135,68.258,3.0,3.0,AVANZAR
0.512,8,scenario1,kalman,supervisor,,0,0,-1,,,,71.162,72.535,67.127,54.668,71.849,67.38,69.224,0.16047,3.5303,1.33764,1.33764,0.003862,0.06035,0.0,-1.80196,-1.77829,1.58129,69.224,3.0,3.0,AVANZAR
0.576,9,scenario1,kalman,supervisor,,0,0,-1,,,,70.143,68.788,61.354,64.642,69.465,67.91,69.663,0.16446,3.61814,1.53232,1.53232,0.003991,0.06236,0.0,-1.802,-1.77445,1.58125,69.663,3.0,3.0,AVANZAR
0.64,10,scenario1,kalman,supervisor,,0,0,-1,,,,63.284,63.746,74.12,70.782,63.515,66.843,69.021,0.16724,3.67925,1.72072,1.72072,0.003862,0.06035,0.0,-1.80204,-1.77061,1.58123,69.021,3.0,3.0,AVANZAR
0.704,11,scenario1,kalman,supervisor,,0,0,-1,,,,68.098,66.564,69.68,65.622,67.331,67.637,69.133,0.16916,3.72154,1.9154,1.9154,0.003991,0.06236,0.0,-1.80207,-1.76677,1.58122,69.133,3.0,3.0,AVANZAR
