t_s,muestra,escenario,modo_decision,pose_fuente,mapa_csv,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion
0.064,1,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,9,3,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.26006,0.19969,1.57087,66.823,3.0,3.0,AVANZAR
0.128,2,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,9,3,67.792,67.068,71.729,70.236,67.43,67.127,67.297,0.07563,1.66387,0.1884,0.1884,0.003862,0.06035,0.0,-1.26005,0.19973,1.57087,67.297,3.0,3.0,AVANZAR
0.192,3,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,69.651,65.048,62.721,69.746,67.349,67.201,67.733,0.10071,2.21572,0.38308,0.38308,0.003991,0.06236,0.0,-1.26005,0.20357,1.57087,67.733,3.0,3.0,AVANZAR
0.256,4,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,62.823,70.805,64.972,63.387,66.814,67.104,68.03,0.12055,2.65216,0.57148,0.57148,0.003862,0.06035,0.0,-1.26005,0.20741,1.57089,68.03,3.0,3.0,AVANZAR
0.32,5,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,72.76,64.941,63.731,64.206,68.85,67.453,68.555,0.13563,2.98394,0.76616,0.76616,0.003991,0.06236,0.0,-1.26005,0.21125,1.5709,68.555,3.0,3.0,AVANZAR
0.384,6,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,66.838,59.887,57.399,69.27,63.362,66.761,68.189,0.14676,3.22862,0.95456,0.95456,0.003862,0.06035,0.0,-1.26005,0.21509,1.57092,68.189,3.0,3.0,AVANZAR
0.448,7,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,67.056,64.992,71.894,67.641,66.024,66.48,68.258,0.15478,3.40509,1.14924,1.14924,0.003991,0.06236,0.0,-1.26005,0.21893,1.57093,68.258,3.0,3.0,AVANZAR
0.512,8,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,71.162,72.535,67.127,54.668,71.849,67.38,69.224,0.16047,3.5303,1.33764,1.33764,0.003862,0.06035,0.0,-1.26006,0.22277,1.57094,69.224,3.0,3.0,AVANZAR
0.576,9,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,70.143,68.788,61.354,64.642,69.465,67.91,69.663,0.16446,3.61814,1.53232,1.53232,0.003991,0.06236,0.0,-1.26006,0.22661,1.57095,69.663,3.0,3.0,AVANZAR
0.64,10,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,63.284,63.746,74.12,70.782,63.515,66.843,69.021,0.16724,3.67925,1.72072,1.72072,0.003862,0.06035,0.0,-1.26006,0.23045,1.57095,69.021,3.0,3.0,AVANZAR
0.704,11,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,68.098,66.564,69.68,65.622,67.331,67.637,69.133,0.16916,3.72154,1.9154,1.9154,0.003991,0.06236,0.0,-1.26006,0.23429,1.57096,69.133,3.0,3.0,AVANZAR
0.768,12,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,68.155,73.454,60.339,66.996,70.805,68.593,69.803,0.17049,3.75068,2.1038,2.1038,0.003862,0.06035,0.0,-1.26006,0.23813,1.57096,69.803,3.0,3.0,AVANZAR
0.832,13,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,66.619,68.489,62.182,72.358,67.554,67.734,69.814,0.1714,3.77071,2.29848,2.29848,0.003991,0.06236,0.0,-1.26006,0.24197,1.57095,69.814,3.0,3.0,AVANZAR
0.896,14,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,69.809,69.763,66.024,70.967,69.786,67.798,70.193,0.17202,3.78446,2.48688,2.48688,0.003862,0.06035,0.0,-1.26006,0.24581,1.57095,70.193,3.0,3.0,AVANZAR
0.96,15,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,67.51,65.362,69.295,68.284,66.436,68.382,69.941,0.17245,3.79387,2.68156,2.68156,0.003991,0.06236,0.0,-1.26006,0.24965,1.57094,69.941,3.0,3.0,AVANZAR
1.024,16,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,72.056,63.584,67.125,62.728,67.82,68.48,69.958,0.17274,3.80032,2.86996,2.86996,0.003862,0.06035,0.0,-1.26006,0.25349,1.57094,69.958,3.0,3.0,AVANZAR
1.088,17,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,61.21,67.347,69.334,69.812,64.278,67.175,69.372,0.17294,3.80473,3.06464,3.06464,0.003991,0.06236,0.0,-1.26006,0.25733,1.57093,69.372,3.0,3.0,AVANZAR
1.152,18,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,62.1,67.006,63.979,69.308,64.553,66.575,68.921,0.17308,3.80775,3.25304,3.25304,0.003862,0.06035,0.0,-1.26006,0.26117,1.57093,68.921,3.0,3.0,AVANZAR
1.216,19,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,67.686,64.656,67.936,66.03,66.171,65.852,68.841,0.17317,3.80981,3.44772,3.44772,0.003991,0.06236,0.0,-1.26006,0.26501,1.57092,68.841,3.0,3.0,AVANZAR
1.28,20,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,63.675,70.418,65.771,69.959,67.046,65.974,68.913,0.17324,3.81122,3.63612,3.63612,0.003862,0.06035,0.0,-1.26006,0.26885,1.57092,68.913,3.0,3.0,AVANZAR
1.344,21,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,67.986,65.157,62.879,57.993,66.572,65.724,68.903,0.17328,3.81218,3.8308,3.8308,0.003991,0.06236,0.0,-1.26006,0.27269,1.57091,68.903,3.0,3.0,AVANZAR
1.408,22,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,67.522,68.806,68.002,66.481,68.164,66.501,69.158,0.17331,3.81284,4.0192,4.0192,0.003862,0.06035,0.0,-1.26006,0.27653,1.57091,69.158,3.0,3.0,AVANZAR
1.472,23,maze_complex,kalman,supervisor,maze_complex_grid.csv,0,0,-1,,8,3,63.595,71.372,62.485,70.073,67.483,67.087,69.264,0.17333,3.81329,4.21388,4.21388,0.003991,0.06236,0.0,-1.26007,0.28037,1.57091,69.264,3.0,3.0,AVANZAR
